ID,scenario,rxpackage,inc_fire,cpu,cumsum_carb,total_carbon_grow,total_carbon_max,cumsum_fire,biosum_cond_id,biosum_plot_id,fortypcd,acres,owngrpcd,lat,lon,elev,MEANING,CEC_type,TargetType
2075,10MM,020,with fire,41.53111701032374,1258690.2313653126,-185.08583384459146,5213.40055623325,1258690.2313653126,1201606060605101e9,1201606060605101e8,281,2556.7289560443987,10,37.679,-118.9,8100,Lodgepole pine,Other conifer,0
842,10MM,700,with fire,41.76883421393486,1315646.3585669794,27281.902939895353,56956.12720166689,1315646.3585669794,12012060602093006e8,12012060602093007e7,371,5673.45475720812,10,41.845,-123.5,3300,California mixed conifer,Mixed conifer,1
1389,10MM,040,with fire,42.35279388096965,1322653.7374452075,-897.8401267000409,7007.3788782281645,1322653.7374452075,12015060605049005e8,12015060605049005e7,261,4297.961985636266,10,41.33,-120.9,5300,White fir,True fir,1
814,10MM,040,with fire,42.62371052515062,1336707.4980503991,-4031.956992726776,14053.760605191621,1336707.4980503991,12012060602033006e8,12012060602033006e7,933,5673.45475720812,10,39.315,-122.9,3900,Canyon live oak,Hardwood,0
1680,10MM,040,with fire,42.662242690413116,1347715.849332688,-342.362742762698,11008.351282288648,1347715.849332688,12011060601061007e8,12011060601061006e7,371,6027.860191734093,10,39.232,-120.2,6700,California mixed conifer,Mixed conifer,1
1864,10MM,040,with fire,43.111531740333334,1360883.1209698478,-3158.9380054512217,13167.271637159825,1360883.1209698478,12013060603091006e8,12013060603091006e7,371,4592.257720190592,10,39.697,-120.7,6300,California mixed conifer,Mixed conifer,1
1380,10MM,040,with fire,43.125016835048434,1378498.935450173,-1311.7484824415392,17615.814480325313,1378498.935450173,12014060604093009e8,12014060604093009e7,371,7000.442777541521,10,41.529,-121.5,5700,California mixed conifer,Mixed conifer,1
2136,10MM,700,with fire,45.325384259258776,1402358.2860278853,-2007.5368472863381,23859.3505777122,1402358.2860278853,12017060607019009e8,1201706060701901e8,371,5730.615980848355,10,37.182,-119.2,7900,California mixed conifer,Mixed conifer,1
2063,10MM,040,with fire,45.96547679601176,1411474.533685486,-2184.690753221618,9116.247657600896,1411474.533685486,12016060606029009e8,1201606060602901e8,371,2855.0598509391216,10,34.864,-119.1,6300,California mixed conifer,Mixed conifer,1
76,10MM,030,with fire,46.05370893705375,1421444.005276056,-1223.1605314164462,9969.471590569987,1421444.005276056,12009060509089009e8,1200906050908901e8,371,5730.615980848355,10,40.906,-122.4,3100,California mixed conifer,Mixed conifer,1
1137,10MM,010,with fire,46.17477505073937,1426844.9810113756,-1151.6851763557509,5400.975735319373,1426844.9810113756,12017060607045006e8,12017060607045006e7,923,6107.000389722145,10,39.721,-123,5300,Oregon white oak,Hardwood,0
2140,10MM,030,with fire,46.218400005668116,1440796.0893727718,-877.6410639424462,13951.108361396282,1440796.0893727718,12017060607039006e8,12017060607039006e7,371,6730.983695960061,10,37.389,-119.4,6100,California mixed conifer,Mixed conifer,1
2187,10MM,700,with fire,46.349973771490696,1457295.349052513,7030.834852975961,16499.259679741197,1457295.349052513,12017060607109009e8,1201706060710901e8,262,5730.615980848355,10,38.318,-120,6700,Red fir,True fir,1
1238,10MM,040,with fire,46.676616326941165,1465185.1072489878,-1533.916403441769,7889.758196474926,1465185.1072489878,12009060509093007e8,12009060509093007e7,262,4883.30429376806,10,41.634,-121.6,6700,Red fir,True fir,1
1832,10MM,040,with fire,46.770720647888034,1468111.128412374,-329.61389785989036,2926.0211633862186,1468111.128412374,12013060603051005e8,12013060603051004e7,281,3083.551824843581,10,38.375,-119.5,9300,Lodgepole pine,Other conifer,0
214,10MM,040,with fire,47.175056379782426,1490805.3924282335,-5804.0498606311285,22694.264015859553,1490805.3924282335,12011060601103009e8,1201106060110301e8,262,7287.806190452483,10,40.194,-121.4,7500,Red fir,True fir,1
1661,10MM,040,with fire,47.25138293783115,1500525.046328517,-597.3228728010027,9719.653900283198,1500525.046328517,12011060601019007e8,12011060601019008e7,371,5673.45475720812,10,37.078,-119.2,4500,California mixed conifer,Mixed conifer,1
1233,10MM,010,with fire,47.85802397793998,1506854.1133897353,-939.5108847041301,6329.067061218582,1506854.1133897353,12009060509093006e8,12009060509093006e7,261,5820.212611286389,10,41.39,-122,5700,White fir,True fir,1
1187,10MM,700,with fire,48.2744564560906,1532693.7673455481,10138.59690907771,25839.653955812766,1532693.7673455481,12018060608023007e8,12018060608023007e7,201,1635.9511809929897,10,40.905,-123.6,3100,Douglas-fir,Douglas-fir,1
