FID,Join_Count,TARGET_FID,biosum_con,ID,biosum_plo,lat,lon,Id_1,gridcode,prob
1426,1,1426,1.20131E+24,1427,1.20131E+23,40.314572,-123.582601,50339,2011,0.2011
1427,1,1427,1.20131E+24,1428,1.20131E+23,41.098033,-124.024308,24824,1294,0.1294
1428,1,1428,1.20131E+24,1429,1.20131E+23,40.426638,-123.749635,46416,1424,0.1424
1429,1,1429,1.20131E+24,1430,1.20131E+23,40.759697,-123.796105,35597,909,0.0909
1430,1,1430,1.20131E+24,1431,1.20131E+23,40.72158,-124.100694,36486,480,0.048
1431,1,1431,1.20131E+24,1432,1.20131E+23,40.806147,-123.648985,34071,2843,0.2843
1432,1,1432,1.20131E+24,1433,1.20131E+23,40.658309,-123.595226,39034,2344,0.2344
1433,1,1433,1.20131E+24,1434,1.20131E+23,35.437472,-118.333327,191424,2956,0.2956
1434,1,1434,1.20131E+24,1435,1.20131E+23,39.565217,-122.821681,72405,5890,0.589
1435,1,1435,1.20131E+24,1436,1.20131E+23,39.111325,-122.764617,83366,4219,0.4219
1436,1,1436,1.20131E+24,1437,1.20131E+23,38.895303,-122.88486,87907,5108,0.5108
1437,1,1437,1.20131E+24,1438,1.20131E+23,39.375682,-122.954079,76904,7532,0.7532
1438,1,1438,1.20131E+24,1439,1.20131E+23,40.547522,-121.067695,44298,2986,0.2986
1439,1,1439,1.20131E+24,1440,1.20131E+23,40.642289,-121.253242,41065,1177,0.1177
1440,1,1440,1.20131E+24,1441,1.20131E+23,40.690528,-120.941616,39565,1566,0.1566
1441,1,1441,1.20131E+24,1442,1.20131E+23,40.796484,-121.264613,36081,3578,0.3578
1442,1,1442,1.20131E+24,1443,1.20131E+23,41.048493,-120.817631,28625,1137,0.1137
1443,1,1443,1.20131E+24,1444,1.20131E+23,40.376667,-121.05102,50216,1639,0.1639
1444,1,1444,1.20131E+24,1445,1.20131E+23,40.524554,-120.90258,44962,1662,0.1662
1445,1,1445,1.20131E+24,1446,1.20131E+23,40.409685,-120.759718,48947,1269,0.1269
